sec,x1[m],v1[m/s],a1[m/s2],Force1[kgf],Force2[kgf],Fmonitor[V],Vmonitor[V],F_sim,MV1[V],x1tg[m],F1tg[kgf],v1tg[m/s],GLx1[m],GLy1[m],GHy1[m],GHy1[m],GHidariX[m],GhidariY[m],G_ab1[m],wii1-1[V],wii1-2[V],wii1-3[V],wii1-4[V],wii1-5[V],wii1-6[V],wii1-7[V],wii1-8[V],hidarite1-1[V],Hidarite1-2[V],Hidarite1-3[V],Hidarite1-4[V],GLx2[m],GLy2[m],GHy2[m],GHy2[m],GHidari2X[m],Ghidari2Y[m],G_ab2[m],wii2-1[V],wii2-2[V],wii2-3[V],wii2-4[V],wii2-5[V],wii2-6[V],wii2-7[V],wii2-8[V],hidarite2-1[V],Hidarite2-2[V],Hidarite2-3[V],Hidarite2-4[V],F1COP[kgf],x1COP[m],remoteEncoder[m],remoteForce[kgf],remoteGab[m],remoteFmoni[V]
0.138675,0,,,0.145569,0.07843,,,,,,,,,,,,,,61.99829844,,,,,,,,,,,,,,,,,,,-5.081255548,,,,,,,,,,,,,,,,,,
0.141185,0,,,0.150757,0.077209,,,,,,,,,,,,,,62.00049946,,,,,,,,,,,,,,,,,,,-5.084121936,,,,,,,,,,,,,,,,,,
0.14368,0,,,0.154419,0.075378,,,,,,,,,,,,,,61.93787712,,,,,,,,,,,,,,,,,,,-4.997826015,,,,,,,,,,,,,,,,,,
0.146229,0,,,0.157166,0.077209,,,,,,,,,,,,,,61.82448145,,,,,,,,,,,,,,,,,,,-4.844127984,,,,,,,,,,,,,,,,,,
0.150597,0,,,0.160522,0.074463,,,,,,,,,,,,,,61.69168437,,,,,,,,,,,,,,,,,,,-4.66139829,,,,,,,,,,,,,,,,,,
0.153259,0,,,0.162659,0.073547,,,,,,,,,,,,,,61.56525032,,,,,,,,,,,,,,,,,,,-4.48168462,,,,,,,,,,,,,,,,,,
0.155748,0,,,0.162354,0.073547,,,,,,,,,,,,,,61.4717613,,,,,,,,,,,,,,,,,,,-4.328073396,,,,,,,,,,,,,,,,,,
0.158229,0,,,0.157471,0.073853,,,,,,,,,,,,,,61.44143535,,,,,,,,,,,,,,,,,,,-4.190391063,,,,,,,,,,,,,,,,,,
0.160718,0,,,0.163269,0.072327,,,,,,,,,,,,,,61.48650999,,,,,,,,,,,,,,,,,,,-4.048216614,,,,,,,,,,,,,,,,,,
0.163207,0,,,0.16571,0.06958,,,,,,,,,,,,,,61.61344391,,,,,,,,,,,,,,,,,,,-3.915462772,,,,,,,,,,,,,,,,,,
0.165717,0,,,0.166321,0.07019,,,,,,,,,,,,,,61.84008173,,,,,,,,,,,,,,,,,,,-3.81046055,,,,,,,,,,,,,,,,,,
0.178455,0,,,0.159912,0.072327,,,,,,,,,,,,,,62.14859812,,,,,,,,,,,,,,,,,,,-3.715123965,,,,,,,,,,,,,,,,,,
0.182589,0,,,0.166931,0.070801,,,,,,,,,,,,,,62.48792479,,,,,,,,,,,,,,,,,,,-3.593118379,,,,,,,,,,,,,,,,,,
